uid,gender,score,is_habit_drink,is_habit_smoke,is_subscribed,A,B,C,D,E
352,F,101,3,3,1,1.0,8.0,10.0,44.0,44.0
353,F,170,0,0,0,10.0,34.0,28.0,6.0,44.0
355,F,221,2,1,0,26.0,62.0,24.0,46.0,33.0
356,F,163,0,0,0,1.0,8.0,10.0,44.0,44.0
357,F,179,2,2,0,7.0,39.0,34.0,11.0,3.0
358,F,185,3,3,1,1.0,8.0,10.0,44.0,44.0
359,F,176,0,0,0,1.0,8.0,10.0,44.0,44.0
360,A,58,0,0,0,8.0,16.0,15.0,61.0,50.0
361,F,455,2,2,0,21.0,2.0,31.0,44.0,44.0
362,F,213,0,2,0,1.0,21.0,10.0,39.0,42.0
363,F,127,0,0,1,1.0,8.0,0.0,21.0,18.0
364,F,258,2,2,0,2.0,62.0,51.0,24.0,73.0
365,F,110,2,0,0,1.0,8.0,22.0,21.0,31.0
367,F,176,0,2,0,1.0,8.0,10.0,44.0,44.0
369,F,119,2,1,0,21.0,2.0,31.0,44.0,44.0
371,F,116,2,0,0,0.0,53.0,55.0,20.0,44.0
372,F,132,3,3,0,1.0,8.0,10.0,44.0,44.0
374,F,182,0,0,0,10.0,39.0,42.0,3.0,59.0
377,F,147,0,0,0,1.0,8.0,10.0,44.0,44.0
378,F,101,0,0,0,3.0,53.0,28.0,44.0,6.0
379,F,95,0,0,0,25.0,29.0,66.0,53.0,10.0
380,M,86,1,2,0,10.0,34.0,3.0,20.0,17.0
381,F,97,2,1,0,21.0,5.0,2.0,35.0,3.0
382,F,188,2,1,0,22.0,10.0,50.0,49.0,44.0
383,F,174,3,3,1,1.0,8.0,10.0,44.0,44.0
384,F,174,2,0,0,1.0,8.0,22.0,2.0,24.0
387,F,390,0,0,0,8.0,38.0,19.0,44.0,61.0
388,F,96,1,1,0,1.0,8.0,10.0,44.0,44.0
389,F,93,2,0,0,8.0,24.0,50.0,20.0,13.0
390,F,191,1,1,0,40.0,62.0,14.0,50.0,67.0
391,F,100,2,2,1,48.0,47.0,17.0,66.0,20.0
392,F,117,0,0,1,3.0,22.0,25.0,9.0,67.0
394,F,95,3,3,0,1.0,8.0,10.0,44.0,44.0
396,F,211,3,3,1,1.0,8.0,10.0,44.0,44.0
397,F,192,0,0,0,25.0,6.0,10.0,68.0,47.0
398,F,128,0,2,0,1.0,27.0,13.0,42.0,21.0
399,F,184,1,0,1,21.0,2.0,42.0,12.0,44.0
4,A,33,3,3,1,1.0,8.0,10.0,44.0,44.0
400,F,47,3,3,1,1.0,8.0,10.0,44.0,44.0
401,F,84,0,1,1,1.0,0.0,8.0,44.0,44.0
403,F,75,2,2,1,21.0,22.0,19.0,49.0,17.0
406,F,170,2,0,1,26.0,70.0,10.0,44.0,44.0
409,F,72,2,2,1,1.0,7.0,3.0,44.0,75.0
410,F,141,0,2,1,1.0,8.0,10.0,44.0,44.0
411,F,108,3,3,1,1.0,8.0,10.0,44.0,44.0
412,F,54,2,2,1,2.0,59.0,33.0,15.0,48.0
413,F,78,3,3,1,1.0,8.0,10.0,44.0,44.0
414,F,40,0,2,1,8.0,14.0,24.0,41.0,50.0
415,F,32,2,0,0,49.0,13.0,12.0,69.0,50.0
417,F,92,3,3,1,1.0,8.0,10.0,44.0,44.0
421,F,57,2,1,0,1.0,8.0,12.0,53.0,23.0
422,F,41,0,0,1,1.0,8.0,10.0,44.0,44.0
423,F,151,2,2,1,1.0,8.0,10.0,44.0,44.0
424,F,117,1,1,1,1.0,22.0,2.0,39.0,31.0
426,A,63,0,0,1,34.0,14.0,24.0,45.0,20.0
428,A,130,3,3,1,1.0,8.0,10.0,44.0,44.0
429,F,199,2,2,1,1.0,8.0,10.0,44.0,44.0
430,F,92,3,3,1,1.0,8.0,10.0,44.0,44.0
